time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.797823,-0.6160,-0.3067,0.9330,1.159
1.807442,-0.3178,-0.2038,0.8473,0.928
1.817579,-0.0932,-0.0156,0.2628,0.279
1.826242,-0.0318,0.0769,-0.2879,0.300
1.838038,-0.0225,0.1182,-0.2621,0.288
1.846103,-0.0880,0.2408,-0.1870,0.317
1.861042,-0.3134,0.1356,-0.3675,0.502
1.866938,-0.1931,-0.0061,-0.4003,0.444
1.877095,0.1381,-0.1495,-0.1825,0.273
1.886505,0.3758,-0.1434,-0.1891,0.444
1.902586,0.2889,-0.0997,-0.1223,0.329
1.905938,0.0300,-0.0540,0.0746,0.097
1.917520,-0.0134,-0.0876,-0.1023,0.135
1.927121,0.0413,-0.1505,-0.0740,0.173
1.936022,0.1160,-0.0169,-0.0862,0.146
1.946051,-0.1418,0.1558,-0.6569,0.690
1.956916,-0.2136,0.0446,-0.5726,0.613
1.966053,-0.4626,0.0908,-0.4232,0.634
1.976469,-0.5263,-0.0195,-0.0794,0.533
1.986010,-0.1415,-0.1688,0.0384,0.224
2.000572,0.4092,-0.1806,0.0578,0.451
2.007335,0.5698,-0.1139,0.0754,0.586
2.016209,0.4687,-0.0279,-0.3749,0.601
2.027151,0.2430,-0.1184,-0.4446,0.520
2.035929,0.2839,-0.0511,-0.1830,0.342
2.046212,0.0622,-0.1213,-0.0277,0.139
2.057489,-0.1187,-0.0934,-0.1483,0.212
2.066038,-0.2015,0.0718,-0.2410,0.322
2.077733,-0.0297,0.1097,-0.4330,0.448
2.085989,0.2891,0.1086,-0.5874,0.664
2.096322,0.5115,0.1369,-0.6952,0.874
2.107428,0.6972,0.0281,-0.4435,0.827
2.116041,0.4552,0.0271,-0.2638,0.527
2.126082,0.0892,-0.0424,-0.0863,0.131
2.136146,-0.5202,-0.1120,0.5599,0.772
2.146258,-1.1997,-0.0835,0.7178,1.401
2.158956,-1.7958,0.0330,0.4198,1.845
2.166247,-1.4575,-0.0755,-0.1705,1.469
2.176505,0.1778,0.0122,-1.0053,1.021
2.185907,1.4497,0.1496,-1.0229,1.781
2.196200,0.9045,0.1595,-0.7139,1.163
2.207516,0.3660,0.2084,-0.2212,0.476
2.216470,-0.0420,0.0807,-0.1298,0.159
2.226621,-0.1062,0.0314,0.3537,0.371
2.236539,-0.5626,-0.2238,0.6530,0.891
2.246166,-0.6683,-0.1457,0.5820,0.898
2.257627,-0.8458,-0.2050,0.4354,0.973
2.266298,-0.8604,-0.1465,0.2906,0.920
2.276997,-0.4962,-0.1664,0.4902,0.717
2.285913,0.1101,-0.0883,0.3105,0.341
2.299585,0.1776,-0.1378,0.1614,0.277
2.307888,0.2758,0.0480,-0.0764,0.290
2.316221,0.0135,-0.0016,0.0198,0.024
2.326402,0.0561,0.0076,0.2907,0.296
2.336066,0.5299,-0.0027,-0.3584,0.640
2.346178,-0.0032,0.0162,-0.1077,0.109
2.358334,-0.6422,-0.2687,0.5434,0.883
2.366133,-0.2535,-0.1810,0.8630,0.917
2.377158,0.0935,-0.0445,0.4419,0.454
2.386011,0.1072,0.0527,-0.1248,0.173
2.396844,-0.2605,0.0813,-0.7901,0.836
2.413295,-0.1279,0.0513,-0.2840,0.316
2.416044,0.5135,0.2765,-0.3678,0.690
2.426036,1.1577,0.3348,-0.0588,1.207
2.436331,0.8667,0.1085,-0.0155,0.874
2.446256,-0.0756,-0.0982,0.0775,0.146
2.458791,-0.4485,-0.1285,-0.0747,0.472
2.466185,-0.2935,-0.0703,-0.4556,0.546
2.476989,-0.2963,-0.0412,-0.2428,0.385
2.486526,0.1216,-0.1394,-0.0340,0.188
2.495958,0.3732,0.0273,0.0952,0.386
2.506362,-0.2553,-0.0903,0.1648,0.317
2.516423,-1.2183,-0.0805,-0.3914,1.282
2.526093,-1.6944,-0.1687,-0.5443,1.788
2.536226,-0.2562,-0.0802,-0.1976,0.333
2.546118,0.9048,0.1456,0.0886,0.921
2.556593,0.5989,0.0577,0.1979,0.633
2.566145,-0.6342,-0.1478,0.0817,0.656
2.577241,-1.6723,-0.3731,-0.1804,1.723
2.585916,-1.8839,-0.4316,0.3217,1.959
2.596150,-1.0061,-0.3918,0.7160,1.296
2.606126,0.0715,-0.2441,0.9154,0.950
2.616059,0.3349,-0.0181,0.6462,0.728
2.627360,0.0221,0.1291,0.0864,0.157
2.636457,-0.1131,0.2469,-0.5001,0.569
2.646202,-0.1509,0.1978,-0.8701,0.905
2.656346,-0.5228,-0.0274,-0.3116,0.609
2.666282,-0.6908,-0.2526,0.2943,0.792
2.676151,-0.7645,-0.3796,0.3610,0.927
2.686021,-0.1264,-0.0848,0.6917,0.708
2.696139,0.3144,-0.3196,0.0447,0.451
2.706448,-0.4483,0.1516,-0.2114,0.518
2.716745,-0.2416,-0.1908,0.2868,0.421
2.726864,0.4252,0.1434,0.4397,0.628
2.736153,1.3586,0.3304,-0.1200,1.403
2.746092,1.5543,0.2620,-0.4513,1.640
2.756008,0.8655,0.0854,-0.6064,1.060
